hv(eV),n(hV),I(hv)(eV),eta_SQ,eta_UL
0.3103,1.866564e+21,92.81167,0.0553,0.214
0.3107,1.901423e+21,94.6635,0.0555,0.2142
0.3111,1.909804e+21,95.20001,0.0557,0.2144
0.3115,1.890977e+21,94.37995,0.0559,0.2147
0.3119,1.915099e+21,95.70411,0.056,0.2149
0.3123,1.951299e+21,97.63599,0.0562,0.2151
0.3127,1.975598e+21,98.97648,0.0564,0.2154
0.3131,1.953635e+21,97.99975,0.0565,0.2156
0.3135,1.939136e+21,97.39539,0.0567,0.2158
0.3139,1.908719e+21,95.98902,0.0569,0.2161
0.3143,1.879917e+21,94.66038,0.0571,0.2163
0.3147,1.838383e+21,92.68647,0.0572,0.2165
0.3151,1.819369e+21,91.84442,0.0574,0.2168
0.3155,1.737546e+21,87.82543,0.0576,0.217
0.3159,1.682261e+21,85.13937,0.0578,0.2173
0.3163,1.698978e+21,86.09505,0.0579,0.2175
0.3167,1.702279e+21,86.37252,0.0581,0.2178
0.3171,1.731808e+21,87.98315,0.0583,0.218
0.3175,1.916565e+21,97.4943,0.0585,0.2182
0.3179,1.908852e+21,97.22639,0.0586,0.2185
0.3183,1.793696e+21,91.47828,0.0588,0.2187
0.3187,1.644781e+21,83.99144,0.059,0.219
0.3191,1.612233e+21,82.43535,0.0592,0.2192
0.3195,1.549642e+21,79.3371,0.0594,0.2195
0.32,1.597524e+21,81.89405,0.0595,0.2197
0.3204,1.732174e+21,88.91133,0.0597,0.22
0.3208,1.898592e+21,97.57954,0.0599,0.2202
0.3212,1.866737e+21,96.06662,0.0601,0.2205
0.3216,1.979171e+21,101.9848,0.0603,0.2207
0.322,2.045371e+21,105.5329,0.0605,0.2209
0.3225,2.026496e+21,104.695,0.0606,0.2212
0.3229,2.063547e+21,106.748,0.0608,0.2214
0.3233,1.761449e+21,91.23914,0.061,0.2217
0.3237,2.188191e+21,113.4914,0.0612,0.2219
0.3241,2.159887e+21,112.1699,0.0614,0.2222
0.3246,2.185242e+21,113.6352,0.0616,0.2224
0.325,1.748755e+21,91.05652,0.0618,0.2227
0.3254,1.851518e+21,96.53385,0.0619,0.2229
0.3258,2.081291e+21,108.6563,0.0621,0.2232
0.3263,2.196593e+21,114.8266,0.0623,0.2234
0.3267,1.968235e+21,103.0248,0.0625,0.2236
0.3271,1.71449e+21,89.86123,0.0627,0.2239
0.3276,1.940189e+21,101.8251,0.0629,0.2242
0.328,2.09968e+21,110.3413,0.0631,0.2244
0.3284,1.977231e+21,104.044,0.0633,0.2247
0.3289,1.985093e+21,104.5962,0.0635,0.2249
0.3293,1.852799e+21,97.75523,0.0637,0.2252
0.3297,1.913005e+21,101.066,0.0638,0.2254
