symbol,charge,cooedination,ionic_radius,spin
H,1,I,-38.0,
H,1,II,-18.0,
Li,1,IV,59.0,
Li,1,VI,76.0,
Li,1,VIII,92.0,
Be,2,III,16.0,
Be,2,IV,27.0,
Be,2,VI,45.0,
B,3,III,1.0,
B,3,IV,11.0,
B,3,VI,27.0,
C,4,III,-8.0,
C,4,IV,15.0,
C,4,VI,16.0,
N,-3,IV,146.0,
N,3,VI,16.0,
N,5,III,-10.4,
N,5,VI,13.0,
O,-2,II,135.0,
O,-2,III,136.0,
O,-2,IV,138.0,
O,-2,VI,140.0,
O,-2,VIII,142.0,
F,-1,II,128.5,
F,-1,III,130.0,
F,-1,IV,131.0,
F,-1,VI,133.0,
F,7,VI,8.0,
Na,1,IV,99.0,
Na,1,V,100.0,
Na,1,VI,102.0,
Na,1,VII,112.0,
Na,1,VIII,118.0,
Na,1,IX,124.0,
Na,1,XII,139.0,
Mg,2,IV,57.0,
Mg,2,V,66.0,
Mg,2,VI,72.0,
Mg,2,VIII,89.0,
Al,3,IV,39.0,
Al,3,V,48.0,
Al,3,VI,53.5,
Si,4,IV,26.0,
Si,4,VI,40.0,
P,3,VI,44.0,
P,5,IV,17.0,
P,5,V,29.0,
P,5,VI,38.0,
S,-2,VI,184.0,
S,4,VI,37.0,
S,6,IV,12.0,
S,6,VI,29.0,
Cl,-1,VI,181.0,
Cl,5,IIIPY,12.0,
Cl,7,IV,8.0,
Cl,7,VI,27.0,
K,1,IV,137.0,
K,1,VI,138.0,
K,1,VII,146.0,
K,1,VIII,151.0,
K,1,IX,155.0,
K,1,X,159.0,
K,1,XII,164.0,
Ca,2,VI,100.0,
Ca,2,VII,106.0,
Ca,2,VIII,112.0,
Ca,2,IX,118.0,
Ca,2,X,123.0,
Ca,2,XII,134.0,
Sc,3,VI,74.5,
Sc,3,VIII,87.0,
Ti,2,VI,86.0,
Ti,3,VI,67.0,
Ti,4,IV,42.0,
Ti,4,V,51.0,
Ti,4,VI,60.5,
Ti,4,VIII,74.0,
V,2,VI,79.0,
V,3,VI,64.0,
V,4,V,53.0,
V,4,VI,58.0,
V,4,VIII,72.0,
V,5,IV,35.5,
V,5,V,46.0,
V,5,VI,54.0,
Cr,2,VI,73.0,LS
Cr,2,VI,80.0,HS
Cr,3,VI,61.5,
Cr,4,IV,41.0,
Cr,4,VI,55.0,
Cr,5,IV,34.5,
Cr,5,VI,49.0,
Cr,5,VIII,57.0,
Cr,6,IV,26.0,
Cr,6,VI,44.0,
Mn,2,IV,66.0,HS
Mn,2,V,75.0,HS
Mn,2,VI,67.0,LS
Mn,2,VI,83.0,HS
Mn,2,VII,90.0,HS
Mn,2,VIII,96.0,
Mn,3,V,58.0,
Mn,3,VI,58.0,LS
Mn,3,VI,64.5,HS
Mn,4,IV,39.0,
Mn,4,VI,53.0,
Mn,5,IV,33.0,
Mn,6,IV,25.5,
Mn,7,IV,25.0,
Mn,7,VI,46.0,
Fe,2,IV,63.0,HS
Fe,2,IVSQ,64.0,HS
Fe,2,VI,61.0,LS
Fe,2,VI,78.0,HS
Fe,2,VIII,92.0,HS
Fe,3,IV,49.0,HS
Fe,3,V,58.0,
Fe,3,VI,55.0,LS
Fe,3,VI,64.5,HS
Fe,3,VIII,78.0,HS
Fe,4,VI,58.5,
Fe,6,IV,25.0,
Co,2,IV,58.0,HS
Co,2,V,67.0,
Co,2,VI,65.0,LS
Co,2,VI,74.5,HS
Co,2,VIII,90.0,
Co,3,VI,54.5,LS
Co,3,VI,61.0,HS
Co,4,IV,40.0,
Co,4,VI,53.0,HS
Ni,2,IV,55.0,
Ni,2,IVSQ,49.0,
Ni,2,V,63.0,
Ni,2,VI,69.0,
Ni,3,VI,56.0,LS
Ni,3,VI,60.0,HS
Ni,4,VI,48.0,LS
Cu,1,II,46.0,
Cu,1,IV,60.0,
Cu,1,VI,77.0,
Cu,2,IV,57.0,
Cu,2,IVSQ,57.0,
Cu,2,V,65.0,
Cu,2,VI,73.0,
Cu,3,VI,54.0,LS
Zn,2,IV,60.0,
Zn,2,V,68.0,
Zn,2,VI,74.0,
Zn,2,VIII,90.0,
Ga,3,IV,47.0,
Ga,3,V,55.0,
Ga,3,VI,62.0,
Ge,2,VI,73.0,
Ge,4,IV,39.0,
Ge,4,VI,53.0,
As,3,VI,58.0,
As,5,IV,33.5,
As,5,VI,46.0,
Se,-2,VI,198.0,
Se,4,VI,50.0,
Se,6,IV,28.0,
Se,6,VI,42.0,
Br,-1,VI,196.0,
Br,3,IVSQ,59.0,
Br,5,IIIPY,31.0,
Br,7,IV,25.0,
Br,7,VI,39.0,
Rb,1,VI,152.0,
Rb,1,VII,156.0,
Rb,1,VIII,161.0,
Rb,1,IX,163.0,
Rb,1,X,166.0,
Rb,1,XI,169.0,
Rb,1,XII,172.0,
Rb,1,XIV,183.0,
Sr,2,VI,118.0,
Sr,2,VII,121.0,
Sr,2,VIII,126.0,
Sr,2,IX,131.0,
